Country,Year,Energy consumption
Albania,2000,123.0
Austria,2000,792.0
Bosnia and Herzegovina,2000,
Belgium,2000,926.0
Bulgaria,2000,257.0
Cyprus,2000,253.0
Czechia,2000,628.0
Germany,2000,795.0
Denmark,2000,790.0
Euro area - 19 countries (from 2015),2000,607.0
Estonia,2000,664.0
Greece,2000,422.0
Spain,2000,297.0
European Union - 27 countries (from 2020),2000,579.0
European Union - 28 countries (2013-2020),2000,598.0
Finland,2000,868.0
France,2000,668.0
Croatia,2000,514.0
Hungary,2000,549.0
Ireland,2000,703.0
Iceland,2000,1105.0
Italy,2000,485.0
Lithuania,2000,390.0
Luxembourg,2000,1072.0
Latvia,2000,560.0
Montenegro,2000,
North Macedonia,2000,237.0
Malta,2000,196.0
Netherlands,2000,680.0
Norway,2000,852.0
Poland,2000,450.0
Portugal,2000,274.0
Romania,2000,375.0
Serbia,2000,416.0
Sweden,2000,823.0
Slovenia,2000,625.0
Slovakia,2000,480.0
Turkey,2000,265.0
United Kingdom,2000,732.0
Kosovo,2000,
Albania,2001,122.0
Austria,2001,832.0
Bosnia and Herzegovina,2001,
Belgium,2001,962.0
Bulgaria,2001,247.0
Cyprus,2001,249.0
Czechia,2001,686.0
Germany,2001,848.0
Denmark,2001,834.0
Euro area - 19 countries (from 2015),2001,640.0
Estonia,2001,683.0
Greece,2001,440.0
Spain,2001,310.0
European Union - 27 countries (from 2020),2001,610.0
European Union - 28 countries (2013-2020),2001,627.0
Finland,2001,941.0
France,2001,694.0
Croatia,2001,574.0
Hungary,2001,590.0
Ireland,2001,736.0
Iceland,2001,1099.0
Italy,2001,507.0
Lithuania,2001,408.0
Luxembourg,2001,1142.0
Latvia,2001,617.0
Montenegro,2001,
North Macedonia,2001,217.0
Malta,2001,191.0
Netherlands,2001,711.0
Norway,2001,883.0
Poland,2001,492.0
Portugal,2001,277.0
Romania,2001,329.0
Serbia,2001,421.0
Sweden,2001,845.0
Slovenia,2001,667.0
Slovakia,2001,573.0
Turkey,2001,250.0
United Kingdom,2001,750.0
Kosovo,2001,
Albania,2002,199.0
Austria,2002,796.0
Bosnia and Herzegovina,2002,
Belgium,2002,904.0
Bulgaria,2002,270.0
Cyprus,2002,272.0
Czechia,2002,659.0
Germany,2002,815.0
Denmark,2002,811.0
Euro area - 19 countries (from 2015),2002,622.0
Estonia,2002,664.0
Greece,2002,457.0
Spain,2002,314.0
European Union - 27 countries (from 2020),2002,595.0
European Union - 28 countries (2013-2020),2002,612.0
Finland,2002,956.0
France,2002,662.0
Croatia,2002,577.0
Hungary,2002,592.0
Ireland,2002,721.0
Iceland,2002,1118.0
Italy,2002,504.0
Lithuania,2002,418.0
Luxembourg,2002,1084.0
Latvia,2002,619.0
Montenegro,2002,
North Macedonia,2002,221.0
Malta,2002,204.0
Netherlands,2002,689.0
Norway,2002,877.0
Poland,2002,489.0
Portugal,2002,288.0
Romania,2002,333.0
Serbia,2002,428.0
Sweden,2002,822.0
Slovenia,2002,646.0
Slovakia,2002,558.0
Turkey,2002,250.0
United Kingdom,2002,733.0
Kosovo,2002,
Albania,2003,125.0
