Country,Year,Energy efficiency
Albania,1990,2.41
Austria,1990,23.71
Bosnia and Herzegovina,1990,
Belgium,1990,45.63
Bulgaria,1990,26.77
Cyprus,1990,1.59
Czechia,1990,48.21
Germany,1990,332.63
Denmark,1990,17.61
Euro area - 19 countries (from 2015),1990,1030.93
Estonia,1990,9.38
Greece,1990,21.53
Spain,1990,82.41
European Union - 27 countries (from 2020),1990,1366.74
European Union - 28 countries (2013-2020),1990,1567.89
Finland,1990,27.2
France,1990,213.04
Georgia,1990,
Croatia,1990,8.93
Hungary,1990,27.4
Ireland,1990,9.64
Iceland,1990,2.32
Italy,1990,137.71
Lithuania,1990,15.34
Luxembourg,1990,3.49
Latvia,1990,7.87
Moldova,1990,
Montenegro,1990,
North Macedonia,1990,2.39
Malta,1990,0.76
Netherlands,1990,58.5
Norway,1990,19.02
Poland,1990,99.12
Portugal,1990,15.12
Romania,1990,62.36
Serbia,1990,19.26
Sweden,1990,45.41
Slovenia,1990,5.72
Slovakia,1990,19.66
Turkey,1990,48.96
Ukraine,1990,247.4
United Kingdom,1990,201.15
Kosovo,1990,
Albania,1991,1.65
Austria,1991,25.35
Bosnia and Herzegovina,1991,
Belgium,1991,47.51
Bulgaria,1991,21.74
Cyprus,1991,1.67
Czechia,1991,44.17
Germany,1991,326.5
Denmark,1991,19.47
Euro area - 19 countries (from 2015),1991,1048.07
Estonia,1991,8.7
Greece,1991,21.71
Spain,1991,85.29
European Union - 27 countries (from 2020),1991,1362.86
European Union - 28 countries (2013-2020),1991,1570.43
Finland,1991,27.36
France,1991,224.03
Georgia,1991,
Croatia,1991,7.46
Hungary,1991,26.39
Ireland,1991,9.77
Iceland,1991,2.12
Italy,1991,141.67
Lithuania,1991,16.15
Luxembourg,1991,3.73
Latvia,1991,7.47
Moldova,1991,
Montenegro,1991,
North Macedonia,1991,2.38
Malta,1991,0.75
Netherlands,1991,61.46
Norway,1991,19.56
Poland,1991,97.86
Portugal,1991,15.67
Romania,1991,50.58
Serbia,1991,16.36
Sweden,1991,47.12
Slovenia,1991,5.54
Slovakia,1991,17.74
Turkey,1991,48.21
Ukraine,1991,247.68
United Kingdom,1991,207.56
Kosovo,1991,
Albania,1992,1.13
Austria,1992,24.3
Bosnia and Herzegovina,1992,
Belgium,1992,47.86
Bulgaria,1992,19.91
Cyprus,1992,1.81
Czechia,1992,42.84
Germany,1992,319.46
Denmark,1992,18.65
Euro area - 19 countries (from 2015),1992,1026.83
Estonia,1992,6.4
Greece,1992,22.31
Spain,1992,87.43
European Union - 27 countries (from 2020),1992,1322.52
European Union - 28 countries (2013-2020),1992,1529.18
Finland,1992,25.58
France,1992,219.97
Georgia,1992,
Croatia,1992,6.71
Hungary,1992,23.88
Ireland,1992,9.73
Iceland,1992,2.07
Italy,1992,140.93
Lithuania,1992,10.64
Luxembourg,1992,3.74
Latvia,1992,6.12
Moldova,1992,
Montenegro,1992,
North Macedonia,1992,2.65
Malta,1992,0.74
Netherlands,1992,61.0
Norway,1992,19.98
Poland,1992,95.69
Portugal,1992,16.66
Romania,1992,43.45
Serbia,1992,15.05
Sweden,1992,44.56
Slovenia,1992,5.14
Slovakia,1992,17.01
Turkey,1992,50.12
Ukraine,1992,217.14
United Kingdom,1992,206.67
Kosovo,1992,
Albania,1993,1.23
Austria,1993,24.68
Bosnia and Herzegovina,1993,
Belgium,1993,46.63
Bulgaria,1993,21.04
Cyprus,1993,1.87
Czechia,1993,41.6
Germany,1993,317.42
Denmark,1993,19.16
Euro area - 19 countries (from 2015),1993,1027.37
Estonia,1993,5.37
Greece,1993,22.15
Spain,1993,84.36
European Union - 27 countries (from 2020),1993,1327.49
European Union - 28 countries (2013-2020),1993,1536.48
Finland,1993,27.19
France,1993,225.79
Georgia,1993,
Croatia,1993,7.05
Hungary,1993,24.56
Ireland,1993,10.02
Iceland,1993,2.22
Italy,1993,141.07
Lithuania,1993,8.98
Luxembourg,1993,3.79
Latvia,1993,5.29
Moldova,1993,
Montenegro,1993,
North Macedonia,1993,2.74
Malta,1993,0.93
Netherlands,1993,63.07
Norway,1993,21.23
Poland,1993,98.02
Portugal,1993,16.52
Romania,1993,43.78
Serbia,1993,12.81
Sweden,1993,44.92
Slovenia,1993,5.42
Slovakia,1993,16.85
Turkey,1993,52.85
Ukraine,1993,192.89
United Kingdom,1993,208.99
Kosovo,1993,
Albania,1994,1.3
