Country,Sector,Type,Year,Pollution
Austria,Fuel combustion in transport,Cardbon dioxide,1985,
Belgium,Fuel combustion in transport,Cardbon dioxide,1985,
Bulgaria,Fuel combustion in transport,Cardbon dioxide,1985,
Switzerland,Fuel combustion in transport,Cardbon dioxide,1985,
Cyprus,Fuel combustion in transport,Cardbon dioxide,1985,
Czechia,Fuel combustion in transport,Cardbon dioxide,1985,
Germany,Fuel combustion in transport,Cardbon dioxide,1985,
Denmark,Fuel combustion in transport,Cardbon dioxide,1985,
Estonia,Fuel combustion in transport,Cardbon dioxide,1985,
Greece,Fuel combustion in transport,Cardbon dioxide,1985,
Spain,Fuel combustion in transport,Cardbon dioxide,1985,
European Union - 27 countries (from 2020),Fuel combustion in transport,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020),Fuel combustion in transport,Cardbon dioxide,1985,
European Union - 28 countries (2013-2020) and Iceland under the Kyoto Protocol,Fuel combustion in transport,Cardbon dioxide,1985,
Finland,Fuel combustion in transport,Cardbon dioxide,1985,
France,Fuel combustion in transport,Cardbon dioxide,1985,
Croatia,Fuel combustion in transport,Cardbon dioxide,1985,
Hungary,Fuel combustion in transport,Cardbon dioxide,1985,2.13
Ireland,Fuel combustion in transport,Cardbon dioxide,1985,
Iceland,Fuel combustion in transport,Cardbon dioxide,1985,
Italy,Fuel combustion in transport,Cardbon dioxide,1985,
Lithuania,Fuel combustion in transport,Cardbon dioxide,1985,
Luxembourg,Fuel combustion in transport,Cardbon dioxide,1985,
Latvia,Fuel combustion in transport,Cardbon dioxide,1985,
Malta,Fuel combustion in transport,Cardbon dioxide,1985,
Netherlands,Fuel combustion in transport,Cardbon dioxide,1985,
Norway,Fuel combustion in transport,Cardbon dioxide,1985,
Poland,Fuel combustion in transport,Cardbon dioxide,1985,
Portugal,Fuel combustion in transport,Cardbon dioxide,1985,
Romania,Fuel combustion in transport,Cardbon dioxide,1985,
Sweden,Fuel combustion in transport,Cardbon dioxide,1985,
Slovenia,Fuel combustion in transport,Cardbon dioxide,1985,
Slovakia,Fuel combustion in transport,Cardbon dioxide,1985,
Turkey,Fuel combustion in transport,Cardbon dioxide,1985,
United Kingdom,Fuel combustion in transport,Cardbon dioxide,1985,
Austria,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Belgium,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
Bulgaria,"Fuel combustion in agriculture, forestry and fishing",Cardbon dioxide,1985,
